id,clarification_question
1424,"by 'such event' do you mean exactly 3 aces , or at least 3 aces ?"
2909,how accurate do you need it ?
2915,should this be cw as it is asking for a collection of resources ?
1853,multivariate or univariate ?
2072,can you clarify what you mean by irregular ?
2335,could you be more precise about what you mean by cross-tabulating the ors ?
2377,do you require that the standard deviation remain constant with this transformation as well ?
2988,do you expect some dropouts during follow-up ?
3368,what do you mean by ` i have 3 time series' ?
3446,"i confess to being mystified by this , despite struggling several times to make sense of it : is there a question here ?"
4155,do you mean arima rather than x-12-arima ?
4465,roughly what proportion of the individuals died by the end of the experiment ?
4816,"if you define the deltas to be complementary incomplete gamma functions , you obtain exact equalities . obviously these are the sharpest possible bounds ! i guess the point of this question is that your calculator doesn't compute incomplete gammas and you're looking for an approximation , but that still omits essential information : how can we answer this question until we know just what your calculator * can * compute ?"
5443,"if x1 . 5 and x2 . 1 , then y = "" b "" . is that the intended behaviour ?"
146169,how large is your sample ?
230120,"i see , sorry for the confusion , maybe url answers your question ?"
4856,may i ask what kind of data do you want to model and for what usage you want to do it ?
5004,doesn't url answer this question ?
10171,"do you mean something like , e . g . , where the entries of a single column of the design matrix are permuted , holding the response and other covariates fixed ?"
12546,cardinal how would you recast this as a linear program ?
13953,"i suggest you think in very precise terms about what you mean by "" control "" in this context . within one multiple regression , control would mean to see how x1 relates to y while partialling out or holding constant x2 . what does control mean with respect to your situation involving a second y ?"
14113,"did you select x and y * before * looking at the dataset or in response to what you're seeing in the data ( such as focusing on the highest or lowest frequencies , for instance ) ?"
111100,is the green table only a subset of a full table that includes all the predictors also found in the blue table ?
307203,"most of the methods for comparing means would probably be robust against small departures from normality so as maartenbuis wisely remarks , why bother ?"
6562,why haven't you tried it yourself ?
6736,"what is this "" given purpose "" ?"
7153,"onestop , marco , cw ?"
7605,how do you measure the increase in goodness-of-fit ?
8126,"in what way are you using * * optim * * ( with what options , with or without supplying a gradient function , etc ) ?"
8160,"when you say "" will best take into account "" , what do you mean by "" best "" ?"
9416,n / w = network ?
9776,in order to use a kalman filter you should have the model of your dynamical system ( i . e . a system of differential equations ) plus the measurements equations . are they available ?
9926,"$ f $ is a pdf , right ?"
10008,exactly what do you plan to do with this correlation once you compute it ?
10059,you mean like clustering on a sample to quickly get good starting centroids for the 'full' pass ?
10532,"would you mind clarifying what you mean by "" simulation of experimental design data "" ?"
10656,"of course you * can * : ) are you asking how to do it in the software , or whether you can draw a particular conclusion , etc ?"
11108,"your title says "" change of mean "" , but the boxplots don't show the means . maybe it won't make much difference , but do you mean a change in the median ?"
11273,can you indicate where you encountered this term ?
11329,i'm confused . did you mean to write $ q_r ( d ) = r $ instead of $ = d $ ?
11414,can we get an example of the query ?
11444,homework ?
11516,is your main research q more about length of time until cancer or about the causes of the three different outcomes ?
12068,can you please elaborate ?
12205,if you have a representative sample why do you need corrections ?
12443,do you have any information about the joint distribution of the five variables or are you trying to estimate it ?
12484,cardinal good answer ! ( maybe you could post it as a reply ?
12610,is it for hypothesis testing ?
12661,can you please define * noisy * ?
12860,why has no one mentioned theoretical properties of information theory and entropy yet ?
13162,could you clarify one thing ?
13430,"sander : perhaps an example for illustration would make your question clearer ( for example , a sample of * a method * ) ?"
13468,are the sites fare enough from one another so that the measurements can be considered independent across sites ?
13693,i'm assuming the $ * $ is to indicate simple multiplication ?
13848,higher than what ?
13857,"so you are trying to predict x , based on var1-var3000 ?"
13849,"could you perhaps say a little more about the purpose of doing pca in this case and why that leads you to think some kind of "" adjustment "" for gender bias might be needed ?"
14064,what is cpk and ppk ?
14237,"peter flom , data collected over time need not be time dependent , and even if it is , it may not make that much difference to your results . it depends on the situation and on what information you have . moominpappa - just wondering , * why * do you think the variables need to be normalised ?"
14247,can you clarify the clustering goal ?
14269,why would you want to do that ?
14636,"what is theta , and what is the distance measured from ?"
14761,"wait , is the output 1500 unique values ?"
14951,can you provide more information ?
14974,"sanity check : in your question , class and group are equivalent , right ?"
15001,it would be useful if you could include plots of the distributions you're comparing . but i suspect that the statistic ( for comparing the distributions ) won't be as big of a problem as the null distribution of the statistic . do you have just the one network ?
15084,did you get homogenous subsets ?
15157,could you please be a bit more detailed ?
15309,are there different dependent variables in the two models ?
15343,what is the hypothesis you want to test ?
15950,plot it how ?
15976,"could you clarify or provide an example of what you mean by "" items in a strong association rule "" ?"
16224,can you qualify huge ?
7088,could you elaborate more on what you mean by format ?
16764,what happens when you do the logistic regression with just the dichotomous predictor ?
27607,"could you explain what you mean by "" ratio and group information "" ?"
43499,does the answer [ here ] ( url ) help ?
81967,what are you trying to do ?
136513,do you mean estimators of the true effects of the variables ?
189239,what are $ x_1 $ and $ x_2 $ and how do they differ from $ x_1 $ and $ x_2 $ ?
272655,what is $ u ( t ) $ ?
15841,are you only concerned with testing differences in means ?
325222,i cannot understand the actual question . could you perhaps rephrase it a bit ?
13427,"i doubt it . . . loess is built-in in most statistical programs , thus there is no practical need to do that . what precisely do you want to alter inside ?"
